model,train_variant,test_set,slice,value,n,accuracy,f1_macro
banglabert,augmented,bidwesh_heldout,dialect,chittagong,1494,0.8594,0.8592
banglabert,augmented,bidwesh_heldout,dialect,noakhali,1475,0.8963,0.8961
banglabert,augmented,bidwesh_heldout,len_bucket,1-5w,1145,0.883,0.8829
banglabert,augmented,bidwesh_heldout,len_bucket,6-15w,2276,0.8976,0.8973
banglabert,augmented,bidwesh_heldout,len_bucket,16-30w,851,0.8719,0.8709
banglabert,augmented,bidwesh_heldout,len_bucket,>30w,135,0.9185,0.9143
banglabert,augmented,bidwesh_heldout,hate_type_1,callToViolence,583,0.9262,0.4809
banglabert,augmented,bidwesh_heldout,hate_type_1,gender,321,0.9439,0.4856
banglabert,augmented,bidwesh_heldout,hate_type_1,religion,94,0.8936,0.4719
banglabert,augmented,bidwesh_heldout,hate_type_1,slander,1184,0.8691,0.465
banglabert,augmented,bidwesh_heldout,target_1,female,430,0.9,0.4737
banglabert,augmented,bidwesh_heldout,target_1,group,357,0.9076,0.4758
banglabert,augmented,bidwesh_heldout,target_1,ind,705,0.8809,0.4683
banglabert,augmented,bidwesh_heldout,target_1,male,690,0.9043,0.4749
banglabert,clean,bidwesh_heldout,dialect,barishal,1439,0.9131,0.9131
banglabert,clean,bidwesh_heldout,dialect,chittagong,1494,0.8387,0.8379
banglabert,clean,bidwesh_heldout,dialect,noakhali,1475,0.899,0.899
banglabert,clean,bidwesh_heldout,len_bucket,1-5w,1145,0.8742,0.8738
banglabert,clean,bidwesh_heldout,len_bucket,6-15w,2276,0.8924,0.8922
banglabert,clean,bidwesh_heldout,len_bucket,16-30w,851,0.8649,0.8636
banglabert,clean,bidwesh_heldout,len_bucket,>30w,135,0.9185,0.9137
banglabert,clean,bidwesh_heldout,hate_type_1,callToViolence,583,0.8971,0.4729
banglabert,clean,bidwesh_heldout,hate_type_1,gender,321,0.9034,0.4746
banglabert,clean,bidwesh_heldout,hate_type_1,religion,94,0.8723,0.4659
banglabert,clean,bidwesh_heldout,hate_type_1,slander,1184,0.8429,0.4574
banglabert,clean,bidwesh_heldout,target_1,female,430,0.8512,0.4598
banglabert,clean,bidwesh_heldout,target_1,group,357,0.888,0.4703
banglabert,clean,bidwesh_heldout,target_1,ind,705,0.8553,0.461
banglabert,clean,bidwesh_heldout,target_1,male,690,0.8797,0.468
banglabert,dialect,bidwesh_heldout,dialect,barishal,1439,0.9173,0.9173
banglabert,dialect,bidwesh_heldout,dialect,chittagong,1494,0.8775,0.8775
banglabert,dialect,bidwesh_heldout,dialect,noakhali,1475,0.9003,0.9003
banglabert,dialect,bidwesh_heldout,len_bucket,1-5w,1145,0.9022,0.9021
banglabert,dialect,bidwesh_heldout,len_bucket,6-15w,2276,0.9025,0.9021
banglabert,dialect,bidwesh_heldout,len_bucket,16-30w,851,0.8743,0.8738
banglabert,dialect,bidwesh_heldout,len_bucket,>30w,135,0.9407,0.9374
banglabert,dialect,bidwesh_heldout,hate_type_1,callToViolence,583,0.9331,0.4827
banglabert,dialect,bidwesh_heldout,hate_type_1,gender,321,0.9128,0.4772
banglabert,dialect,bidwesh_heldout,hate_type_1,religion,94,0.9787,0.4946
banglabert,dialect,bidwesh_heldout,hate_type_1,slander,1184,0.8936,0.4719
banglabert,dialect,bidwesh_heldout,target_1,female,430,0.8814,0.4685
banglabert,dialect,bidwesh_heldout,target_1,group,357,0.9328,0.4826
banglabert,dialect,bidwesh_heldout,target_1,ind,705,0.8837,0.4691
banglabert,dialect,bidwesh_heldout,target_1,male,690,0.9449,0.4858
banglabert-adapt1000,augmented,bidwesh_heldout,dialect,barishal,1439,0.9104,0.9104
banglabert-adapt1000,augmented,bidwesh_heldout,dialect,chittagong,1494,0.8628,0.8628
banglabert-adapt1000,augmented,bidwesh_heldout,dialect,noakhali,1475,0.9003,0.9002
banglabert-adapt1000,augmented,bidwesh_heldout,len_bucket,1-5w,1145,0.8873,0.8873
banglabert-adapt1000,augmented,bidwesh_heldout,len_bucket,6-15w,2276,0.8998,0.8994
banglabert-adapt1000,augmented,bidwesh_heldout,len_bucket,16-30w,851,0.8719,0.8713
banglabert-adapt1000,augmented,bidwesh_heldout,len_bucket,>30w,135,0.8889,0.8846
banglabert-adapt1000,augmented,bidwesh_heldout,hate_type_1,callToViolence,583,0.928,0.4813
banglabert-adapt1000,augmented,bidwesh_heldout,hate_type_1,gender,321,0.947,0.4864
banglabert-adapt1000,augmented,bidwesh_heldout,hate_type_1,religion,94,0.9043,0.4749
banglabert-adapt1000,augmented,bidwesh_heldout,hate_type_1,slander,1184,0.891,0.4712
banglabert-adapt1000,augmented,bidwesh_heldout,target_1,female,430,0.907,0.4756
banglabert-adapt1000,augmented,bidwesh_heldout,target_1,group,357,0.9188,0.4788
banglabert-adapt1000,augmented,bidwesh_heldout,target_1,ind,705,0.8894,0.4707
banglabert-adapt1000,augmented,bidwesh_heldout,target_1,male,690,0.9275,0.4812
banglabert-adapt250,augmented,bidwesh_heldout,dialect,barishal,1439,0.9104,0.9103
banglabert-adapt250,augmented,bidwesh_heldout,dialect,chittagong,1494,0.8568,0.8567
banglabert-adapt250,augmented,bidwesh_heldout,dialect,noakhali,1475,0.8949,0.8947
banglabert-adapt250,augmented,bidwesh_heldout,len_bucket,1-5w,1145,0.8786,0.8786
banglabert-adapt250,augmented,bidwesh_heldout,len_bucket,6-15w,2276,0.8941,0.8936
banglabert-adapt250,augmented,bidwesh_heldout,len_bucket,16-30w,851,0.8766,0.8758
banglabert-adapt250,augmented,bidwesh_heldout,len_bucket,>30w,135,0.9037,0.8994
banglabert-adapt250,augmented,bidwesh_heldout,hate_type_1,callToViolence,583,0.9348,0.4832
banglabert-adapt250,augmented,bidwesh_heldout,hate_type_1,gender,321,0.9502,0.4872
banglabert-adapt250,augmented,bidwesh_heldout,hate_type_1,religion,94,0.8936,0.4719
banglabert-adapt250,augmented,bidwesh_heldout,hate_type_1,slander,1184,0.886,0.4698
banglabert-adapt250,augmented,bidwesh_heldout,target_1,female,430,0.9093,0.4762
banglabert-adapt250,augmented,bidwesh_heldout,target_1,group,357,0.9244,0.4803
banglabert-adapt250,augmented,bidwesh_heldout,target_1,ind,705,0.8908,0.4711
banglabert-adapt250,augmented,bidwesh_heldout,target_1,male,690,0.9188,0.4789
banglabert-adapt500,augmented,bidwesh_heldout,dialect,barishal,1439,0.9152,0.9152
banglabert-adapt500,augmented,bidwesh_heldout,dialect,chittagong,1494,0.8635,0.8632
banglabert-adapt500,augmented,bidwesh_heldout,dialect,noakhali,1475,0.9024,0.9023
banglabert-adapt500,augmented,bidwesh_heldout,len_bucket,1-5w,1145,0.8908,0.8908
banglabert-adapt500,augmented,bidwesh_heldout,len_bucket,6-15w,2276,0.9003,0.9
banglabert-adapt500,augmented,bidwesh_heldout,len_bucket,16-30w,851,0.8778,0.8767
banglabert-adapt500,augmented,bidwesh_heldout,len_bucket,>30w,135,0.8963,0.892
banglabert-adapt500,augmented,bidwesh_heldout,hate_type_1,callToViolence,583,0.9211,0.4795
banglabert-adapt500,augmented,bidwesh_heldout,hate_type_1,gender,321,0.9439,0.4856
banglabert-adapt500,augmented,bidwesh_heldout,hate_type_1,religion,94,0.8936,0.4719
banglabert-adapt500,augmented,bidwesh_heldout,hate_type_1,slander,1184,0.8725,0.4659
banglabert-adapt500,augmented,bidwesh_heldout,target_1,female,430,0.9,0.4737
banglabert-adapt500,augmented,bidwesh_heldout,target_1,group,357,0.9104,0.4765
banglabert-adapt500,augmented,bidwesh_heldout,target_1,ind,705,0.8766,0.4671
banglabert-adapt500,augmented,bidwesh_heldout,target_1,male,690,0.9087,0.4761
banglabert-adaptfull,augmented,bidwesh_heldout,dialect,barishal,1439,0.9138,0.9138
banglabert-adaptfull,augmented,bidwesh_heldout,dialect,chittagong,1494,0.8942,0.8942
banglabert-adaptfull,augmented,bidwesh_heldout,dialect,noakhali,1475,0.9064,0.9064
banglabert-adaptfull,augmented,bidwesh_heldout,len_bucket,1-5w,1145,0.9022,0.9021
banglabert-adaptfull,augmented,bidwesh_heldout,len_bucket,6-15w,2276,0.9183,0.918
banglabert-adaptfull,augmented,bidwesh_heldout,len_bucket,16-30w,851,0.8719,0.8714
banglabert-adaptfull,augmented,bidwesh_heldout,len_bucket,>30w,135,0.9037,0.9
banglabert-adaptfull,augmented,bidwesh_heldout,hate_type_1,callToViolence,583,0.94,0.4845
banglabert-adaptfull,augmented,bidwesh_heldout,hate_type_1,gender,321,0.947,0.4864
banglabert-adaptfull,augmented,bidwesh_heldout,hate_type_1,religion,94,0.9043,0.4749
banglabert-adaptfull,augmented,bidwesh_heldout,hate_type_1,slander,1184,0.9046,0.4749
banglabert-adaptfull,augmented,bidwesh_heldout,target_1,female,430,0.9186,0.4788
banglabert-adaptfull,augmented,bidwesh_heldout,target_1,group,357,0.9272,0.4811
banglabert-adaptfull,augmented,bidwesh_heldout,target_1,ind,705,0.8851,0.4695
banglabert-adaptfull,augmented,bidwesh_heldout,target_1,male,690,0.9536,0.4881
banglabert-nct,clean,bidwesh_heldout,dialect,barishal,1439,0.9124,0.9124
banglabert-nct,clean,bidwesh_heldout,dialect,chittagong,1494,0.8447,0.8447
banglabert-nct,clean,bidwesh_heldout,dialect,noakhali,1475,0.9024,0.9022
banglabert-nct,clean,bidwesh_heldout,len_bucket,1-5w,1145,0.8838,0.8838
banglabert-nct,clean,bidwesh_heldout,len_bucket,6-15w,2276,0.8946,0.8941
banglabert-nct,clean,bidwesh_heldout,len_bucket,16-30w,851,0.8649,0.8644
banglabert-nct,clean,bidwesh_heldout,len_bucket,>30w,135,0.8963,0.8913
banglabert-nct,clean,bidwesh_heldout,hate_type_1,callToViolence,583,0.94,0.4845
banglabert-nct,clean,bidwesh_heldout,hate_type_1,gender,321,0.947,0.4864
banglabert-nct,clean,bidwesh_heldout,hate_type_1,religion,94,0.9043,0.4749
banglabert-nct,clean,bidwesh_heldout,hate_type_1,slander,1184,0.8733,0.4662
banglabert-nct,clean,bidwesh_heldout,target_1,female,430,0.9047,0.475
banglabert-nct,clean,bidwesh_heldout,target_1,group,357,0.9216,0.4796
banglabert-nct,clean,bidwesh_heldout,target_1,ind,705,0.8809,0.4683
banglabert-nct,clean,bidwesh_heldout,target_1,male,690,0.9159,0.4781
majority,clean,bidwesh_heldout,dialect,barishal,1439,0.5094,0.3375
majority,clean,bidwesh_heldout,dialect,chittagong,1494,0.5033,0.3348
majority,clean,bidwesh_heldout,dialect,noakhali,1475,0.5024,0.3344
majority,clean,bidwesh_heldout,len_bucket,1-5w,1145,0.5127,0.3389
majority,clean,bidwesh_heldout,len_bucket,6-15w,2276,0.475,0.322
majority,clean,bidwesh_heldout,len_bucket,16-30w,851,0.5582,0.3582
majority,clean,bidwesh_heldout,len_bucket,>30w,135,0.6074,0.3779
majority,clean,bidwesh_heldout,hate_type_1,callToViolence,583,0.0,0.0
majority,clean,bidwesh_heldout,hate_type_1,gender,321,0.0,0.0
majority,clean,bidwesh_heldout,hate_type_1,religion,94,0.0,0.0
majority,clean,bidwesh_heldout,hate_type_1,slander,1184,0.0,0.0
majority,clean,bidwesh_heldout,target_1,female,430,0.0,0.0
majority,clean,bidwesh_heldout,target_1,group,357,0.0,0.0
majority,clean,bidwesh_heldout,target_1,ind,705,0.0,0.0
majority,clean,bidwesh_heldout,target_1,male,690,0.0,0.0
muril-base-cased,augmented,bidwesh_heldout,dialect,barishal,1439,0.9055,0.9055
muril-base-cased,augmented,bidwesh_heldout,dialect,chittagong,1494,0.8367,0.8363
muril-base-cased,augmented,bidwesh_heldout,dialect,noakhali,1475,0.8997,0.8996
muril-base-cased,augmented,bidwesh_heldout,len_bucket,1-5w,1145,0.8769,0.8767
muril-base-cased,augmented,bidwesh_heldout,len_bucket,6-15w,2276,0.8915,0.8912
muril-base-cased,augmented,bidwesh_heldout,len_bucket,16-30w,851,0.8602,0.8596
muril-base-cased,augmented,bidwesh_heldout,len_bucket,>30w,135,0.8444,0.8394
muril-base-cased,augmented,bidwesh_heldout,hate_type_1,callToViolence,583,0.9262,0.4809
muril-base-cased,augmented,bidwesh_heldout,hate_type_1,gender,321,0.9065,0.4755
muril-base-cased,augmented,bidwesh_heldout,hate_type_1,religion,94,0.8511,0.4598
muril-base-cased,augmented,bidwesh_heldout,hate_type_1,slander,1184,0.864,0.4635
muril-base-cased,augmented,bidwesh_heldout,target_1,female,430,0.8791,0.4678
muril-base-cased,augmented,bidwesh_heldout,target_1,group,357,0.8992,0.4735
muril-base-cased,augmented,bidwesh_heldout,target_1,ind,705,0.8809,0.4683
muril-base-cased,augmented,bidwesh_heldout,target_1,male,690,0.8899,0.4709
muril-base-cased,clean,bidwesh_heldout,dialect,barishal,1439,0.9013,0.9013
muril-base-cased,clean,bidwesh_heldout,dialect,chittagong,1494,0.83,0.8295
muril-base-cased,clean,bidwesh_heldout,dialect,noakhali,1475,0.8875,0.8874
muril-base-cased,clean,bidwesh_heldout,len_bucket,1-5w,1145,0.8707,0.8703
muril-base-cased,clean,bidwesh_heldout,len_bucket,6-15w,2276,0.8836,0.8832
muril-base-cased,clean,bidwesh_heldout,len_bucket,16-30w,851,0.8484,0.8479
muril-base-cased,clean,bidwesh_heldout,len_bucket,>30w,135,0.8519,0.8474
muril-base-cased,clean,bidwesh_heldout,hate_type_1,callToViolence,583,0.9177,0.4785
muril-base-cased,clean,bidwesh_heldout,hate_type_1,gender,321,0.9128,0.4772
muril-base-cased,clean,bidwesh_heldout,hate_type_1,religion,94,0.8617,0.4629
muril-base-cased,clean,bidwesh_heldout,hate_type_1,slander,1184,0.848,0.4589
muril-base-cased,clean,bidwesh_heldout,target_1,female,430,0.8767,0.4672
muril-base-cased,clean,bidwesh_heldout,target_1,group,357,0.8936,0.4719
muril-base-cased,clean,bidwesh_heldout,target_1,ind,705,0.8709,0.4655
muril-base-cased,clean,bidwesh_heldout,target_1,male,690,0.8739,0.4664
tfidf_lr,aug_dia,bidwesh_heldout,dialect,barishal,1439,0.8958,0.8957
tfidf_lr,aug_dia,bidwesh_heldout,dialect,chittagong,1494,0.8614,0.8614
tfidf_lr,aug_dia,bidwesh_heldout,dialect,noakhali,1475,0.878,0.8779
tfidf_lr,aug_dia,bidwesh_heldout,len_bucket,1-5w,1145,0.8865,0.8861
tfidf_lr,aug_dia,bidwesh_heldout,len_bucket,6-15w,2276,0.888,0.8878
tfidf_lr,aug_dia,bidwesh_heldout,len_bucket,16-30w,851,0.8378,0.8373
tfidf_lr,aug_dia,bidwesh_heldout,len_bucket,>30w,135,0.8963,0.892
tfidf_lr,aug_dia,bidwesh_heldout,hate_type_1,callToViolence,583,0.9057,0.4752
tfidf_lr,aug_dia,bidwesh_heldout,hate_type_1,gender,321,0.8411,0.4569
tfidf_lr,aug_dia,bidwesh_heldout,hate_type_1,religion,94,0.8723,0.4659
tfidf_lr,aug_dia,bidwesh_heldout,hate_type_1,slander,1184,0.8666,0.4643
tfidf_lr,aug_dia,bidwesh_heldout,target_1,female,430,0.8326,0.4543
tfidf_lr,aug_dia,bidwesh_heldout,target_1,group,357,0.902,0.4742
tfidf_lr,aug_dia,bidwesh_heldout,target_1,ind,705,0.834,0.4548
tfidf_lr,aug_dia,bidwesh_heldout,target_1,male,690,0.9246,0.4804
tfidf_lr,augmented,bidwesh_heldout,dialect,barishal,1439,0.8944,0.8943
tfidf_lr,augmented,bidwesh_heldout,dialect,chittagong,1494,0.8333,0.8328
tfidf_lr,augmented,bidwesh_heldout,dialect,noakhali,1475,0.8631,0.863
tfidf_lr,augmented,bidwesh_heldout,len_bucket,1-5w,1145,0.8655,0.8648
tfidf_lr,augmented,bidwesh_heldout,len_bucket,6-15w,2276,0.8748,0.8747
tfidf_lr,augmented,bidwesh_heldout,len_bucket,16-30w,851,0.8249,0.8243
tfidf_lr,augmented,bidwesh_heldout,len_bucket,>30w,135,0.8889,0.8831
tfidf_lr,augmented,bidwesh_heldout,hate_type_1,callToViolence,583,0.8748,0.4666
tfidf_lr,augmented,bidwesh_heldout,hate_type_1,gender,321,0.8318,0.4541
tfidf_lr,augmented,bidwesh_heldout,hate_type_1,religion,94,0.8191,0.4503
tfidf_lr,augmented,bidwesh_heldout,hate_type_1,slander,1184,0.837,0.4556
tfidf_lr,augmented,bidwesh_heldout,target_1,female,430,0.8209,0.4508
tfidf_lr,augmented,bidwesh_heldout,target_1,group,357,0.8768,0.4672
tfidf_lr,augmented,bidwesh_heldout,target_1,ind,705,0.8213,0.4509
tfidf_lr,augmented,bidwesh_heldout,target_1,male,690,0.8696,0.4651
tfidf_lr,clean,bidwesh_heldout,dialect,barishal,1439,0.8853,0.8853
tfidf_lr,clean,bidwesh_heldout,dialect,chittagong,1494,0.8159,0.815
tfidf_lr,clean,bidwesh_heldout,dialect,noakhali,1475,0.8617,0.8617
tfidf_lr,clean,bidwesh_heldout,len_bucket,1-5w,1145,0.8646,0.8636
tfidf_lr,clean,bidwesh_heldout,len_bucket,6-15w,2276,0.8638,0.8637
tfidf_lr,clean,bidwesh_heldout,len_bucket,16-30w,851,0.8143,0.8139
tfidf_lr,clean,bidwesh_heldout,len_bucket,>30w,135,0.8444,0.8364
tfidf_lr,clean,bidwesh_heldout,hate_type_1,callToViolence,583,0.8679,0.4646
tfidf_lr,clean,bidwesh_heldout,hate_type_1,gender,321,0.8224,0.4513
tfidf_lr,clean,bidwesh_heldout,hate_type_1,religion,94,0.8085,0.4471
tfidf_lr,clean,bidwesh_heldout,hate_type_1,slander,1184,0.8201,0.4506
tfidf_lr,clean,bidwesh_heldout,target_1,female,430,0.8116,0.448
tfidf_lr,clean,bidwesh_heldout,target_1,group,357,0.8683,0.4648
tfidf_lr,clean,bidwesh_heldout,target_1,ind,705,0.8099,0.4475
tfidf_lr,clean,bidwesh_heldout,target_1,male,690,0.8507,0.4597
tfidf_lr,dialect,bidwesh_heldout,dialect,barishal,1439,0.8951,0.8949
tfidf_lr,dialect,bidwesh_heldout,dialect,chittagong,1494,0.8588,0.8586
tfidf_lr,dialect,bidwesh_heldout,dialect,noakhali,1475,0.8807,0.8807
tfidf_lr,dialect,bidwesh_heldout,len_bucket,1-5w,1145,0.8908,0.8904
tfidf_lr,dialect,bidwesh_heldout,len_bucket,6-15w,2276,0.8862,0.8862
tfidf_lr,dialect,bidwesh_heldout,len_bucket,16-30w,851,0.8378,0.8373
tfidf_lr,dialect,bidwesh_heldout,len_bucket,>30w,135,0.8815,0.8749
tfidf_lr,dialect,bidwesh_heldout,hate_type_1,callToViolence,583,0.8988,0.4734
tfidf_lr,dialect,bidwesh_heldout,hate_type_1,gender,321,0.8287,0.4532
tfidf_lr,dialect,bidwesh_heldout,hate_type_1,religion,94,0.8723,0.4659
tfidf_lr,dialect,bidwesh_heldout,hate_type_1,slander,1184,0.8547,0.4608
tfidf_lr,dialect,bidwesh_heldout,target_1,female,430,0.8233,0.4515
tfidf_lr,dialect,bidwesh_heldout,target_1,group,357,0.8796,0.468
tfidf_lr,dialect,bidwesh_heldout,target_1,ind,705,0.8312,0.4539
tfidf_lr,dialect,bidwesh_heldout,target_1,male,690,0.913,0.4773
tfidf_svm,aug_dia,bidwesh_heldout,dialect,barishal,1439,0.8846,0.8846
tfidf_svm,aug_dia,bidwesh_heldout,dialect,chittagong,1494,0.8514,0.8514
tfidf_svm,aug_dia,bidwesh_heldout,dialect,noakhali,1475,0.8671,0.8671
tfidf_svm,aug_dia,bidwesh_heldout,len_bucket,1-5w,1145,0.8873,0.8871
tfidf_svm,aug_dia,bidwesh_heldout,len_bucket,6-15w,2276,0.877,0.8767
tfidf_svm,aug_dia,bidwesh_heldout,len_bucket,16-30w,851,0.8132,0.813
tfidf_svm,aug_dia,bidwesh_heldout,len_bucket,>30w,135,0.8815,0.8773
tfidf_svm,aug_dia,bidwesh_heldout,hate_type_1,callToViolence,583,0.9022,0.4743
tfidf_svm,aug_dia,bidwesh_heldout,hate_type_1,gender,321,0.8536,0.4605
tfidf_svm,aug_dia,bidwesh_heldout,hate_type_1,religion,94,0.8404,0.4566
tfidf_svm,aug_dia,bidwesh_heldout,hate_type_1,slander,1184,0.8682,0.4647
tfidf_svm,aug_dia,bidwesh_heldout,target_1,female,430,0.8465,0.4584
tfidf_svm,aug_dia,bidwesh_heldout,target_1,group,357,0.8992,0.4735
tfidf_svm,aug_dia,bidwesh_heldout,target_1,ind,705,0.8312,0.4539
tfidf_svm,aug_dia,bidwesh_heldout,target_1,male,690,0.9217,0.4796
tfidf_svm,augmented,bidwesh_heldout,dialect,barishal,1439,0.8833,0.8833
tfidf_svm,augmented,bidwesh_heldout,dialect,chittagong,1494,0.8179,0.8177
tfidf_svm,augmented,bidwesh_heldout,dialect,noakhali,1475,0.8529,0.8527
tfidf_svm,augmented,bidwesh_heldout,len_bucket,1-5w,1145,0.8664,0.8658
tfidf_svm,augmented,bidwesh_heldout,len_bucket,6-15w,2276,0.8616,0.8613
tfidf_svm,augmented,bidwesh_heldout,len_bucket,16-30w,851,0.8014,0.8014
tfidf_svm,augmented,bidwesh_heldout,len_bucket,>30w,135,0.8519,0.8466
tfidf_svm,augmented,bidwesh_heldout,hate_type_1,callToViolence,583,0.8834,0.469
tfidf_svm,augmented,bidwesh_heldout,hate_type_1,gender,321,0.8567,0.4614
tfidf_svm,augmented,bidwesh_heldout,hate_type_1,religion,94,0.8298,0.4535
tfidf_svm,augmented,bidwesh_heldout,hate_type_1,slander,1184,0.848,0.4589
tfidf_svm,augmented,bidwesh_heldout,target_1,female,430,0.8395,0.4564
tfidf_svm,augmented,bidwesh_heldout,target_1,group,357,0.8796,0.468
tfidf_svm,augmented,bidwesh_heldout,target_1,ind,705,0.8355,0.4552
tfidf_svm,augmented,bidwesh_heldout,target_1,male,690,0.8812,0.4684
tfidf_svm,clean,bidwesh_heldout,dialect,barishal,1439,0.8777,0.8776
tfidf_svm,clean,bidwesh_heldout,dialect,chittagong,1494,0.8086,0.8077
tfidf_svm,clean,bidwesh_heldout,dialect,noakhali,1475,0.8495,0.8495
tfidf_svm,clean,bidwesh_heldout,len_bucket,1-5w,1145,0.855,0.8539
tfidf_svm,clean,bidwesh_heldout,len_bucket,6-15w,2276,0.8554,0.8554
tfidf_svm,clean,bidwesh_heldout,len_bucket,16-30w,851,0.8085,0.808
tfidf_svm,clean,bidwesh_heldout,len_bucket,>30w,135,0.8074,0.8017
tfidf_svm,clean,bidwesh_heldout,hate_type_1,callToViolence,583,0.8491,0.4592
tfidf_svm,clean,bidwesh_heldout,hate_type_1,gender,321,0.8006,0.4446
tfidf_svm,clean,bidwesh_heldout,hate_type_1,religion,94,0.7979,0.4438
tfidf_svm,clean,bidwesh_heldout,hate_type_1,slander,1184,0.8201,0.4506
tfidf_svm,clean,bidwesh_heldout,target_1,female,430,0.7953,0.443
tfidf_svm,clean,bidwesh_heldout,target_1,group,357,0.8459,0.4583
tfidf_svm,clean,bidwesh_heldout,target_1,ind,705,0.7986,0.444
tfidf_svm,clean,bidwesh_heldout,target_1,male,690,0.8565,0.4614
tfidf_svm,dialect,bidwesh_heldout,dialect,barishal,1439,0.8819,0.8818
tfidf_svm,dialect,bidwesh_heldout,dialect,chittagong,1494,0.8427,0.8427
tfidf_svm,dialect,bidwesh_heldout,dialect,noakhali,1475,0.8603,0.8603
tfidf_svm,dialect,bidwesh_heldout,len_bucket,1-5w,1145,0.8856,0.8853
tfidf_svm,dialect,bidwesh_heldout,len_bucket,6-15w,2276,0.8713,0.8711
tfidf_svm,dialect,bidwesh_heldout,len_bucket,16-30w,851,0.8014,0.8013
tfidf_svm,dialect,bidwesh_heldout,len_bucket,>30w,135,0.8667,0.8611
tfidf_svm,dialect,bidwesh_heldout,hate_type_1,callToViolence,583,0.8937,0.4719
tfidf_svm,dialect,bidwesh_heldout,hate_type_1,gender,321,0.838,0.4559
tfidf_svm,dialect,bidwesh_heldout,hate_type_1,religion,94,0.8511,0.4598
tfidf_svm,dialect,bidwesh_heldout,hate_type_1,slander,1184,0.859,0.4621
tfidf_svm,dialect,bidwesh_heldout,target_1,female,430,0.8302,0.4536
tfidf_svm,dialect,bidwesh_heldout,target_1,group,357,0.888,0.4703
tfidf_svm,dialect,bidwesh_heldout,target_1,ind,705,0.8255,0.4522
tfidf_svm,dialect,bidwesh_heldout,target_1,male,690,0.9145,0.4777
xlm-roberta-base,aug_dia,bidwesh_heldout,dialect,barishal,1439,0.911,0.911
xlm-roberta-base,aug_dia,bidwesh_heldout,dialect,chittagong,1494,0.8728,0.8728
xlm-roberta-base,aug_dia,bidwesh_heldout,dialect,noakhali,1475,0.899,0.8988
xlm-roberta-base,aug_dia,bidwesh_heldout,len_bucket,1-5w,1145,0.8891,0.8891
xlm-roberta-base,aug_dia,bidwesh_heldout,len_bucket,6-15w,2276,0.9064,0.906
xlm-roberta-base,aug_dia,bidwesh_heldout,len_bucket,16-30w,851,0.8707,0.8704
xlm-roberta-base,aug_dia,bidwesh_heldout,len_bucket,>30w,135,0.8741,0.8706
xlm-roberta-base,aug_dia,bidwesh_heldout,hate_type_1,callToViolence,583,0.9485,0.4868
xlm-roberta-base,aug_dia,bidwesh_heldout,hate_type_1,gender,321,0.919,0.4789
xlm-roberta-base,aug_dia,bidwesh_heldout,hate_type_1,religion,94,0.9787,0.4946
xlm-roberta-base,aug_dia,bidwesh_heldout,hate_type_1,slander,1184,0.9071,0.4756
xlm-roberta-base,aug_dia,bidwesh_heldout,target_1,female,430,0.9,0.4737
xlm-roberta-base,aug_dia,bidwesh_heldout,target_1,group,357,0.93,0.4819
xlm-roberta-base,aug_dia,bidwesh_heldout,target_1,ind,705,0.8979,0.4731
xlm-roberta-base,aug_dia,bidwesh_heldout,target_1,male,690,0.9594,0.4896
xlm-roberta-base,augmented,bidwesh_heldout,dialect,barishal,1439,0.9062,0.9062
xlm-roberta-base,augmented,bidwesh_heldout,dialect,chittagong,1494,0.8487,0.8487
xlm-roberta-base,augmented,bidwesh_heldout,dialect,noakhali,1475,0.9003,0.9002
xlm-roberta-base,augmented,bidwesh_heldout,len_bucket,1-5w,1145,0.8725,0.8725
xlm-roberta-base,augmented,bidwesh_heldout,len_bucket,6-15w,2276,0.8998,0.8994
xlm-roberta-base,augmented,bidwesh_heldout,len_bucket,16-30w,851,0.8625,0.8619
xlm-roberta-base,augmented,bidwesh_heldout,len_bucket,>30w,135,0.8741,0.8692
xlm-roberta-base,augmented,bidwesh_heldout,hate_type_1,callToViolence,583,0.9468,0.4863
xlm-roberta-base,augmented,bidwesh_heldout,hate_type_1,gender,321,0.9034,0.4746
xlm-roberta-base,augmented,bidwesh_heldout,hate_type_1,religion,94,0.883,0.4689
xlm-roberta-base,augmented,bidwesh_heldout,hate_type_1,slander,1184,0.8885,0.4705
xlm-roberta-base,augmented,bidwesh_heldout,target_1,female,430,0.893,0.4717
xlm-roberta-base,augmented,bidwesh_heldout,target_1,group,357,0.8992,0.4735
xlm-roberta-base,augmented,bidwesh_heldout,target_1,ind,705,0.8922,0.4715
xlm-roberta-base,augmented,bidwesh_heldout,target_1,male,690,0.9319,0.4824
xlm-roberta-base,clean,bidwesh_heldout,dialect,barishal,1439,0.8958,0.8958
xlm-roberta-base,clean,bidwesh_heldout,dialect,chittagong,1494,0.8327,0.8327
xlm-roberta-base,clean,bidwesh_heldout,dialect,noakhali,1475,0.8847,0.8846
xlm-roberta-base,clean,bidwesh_heldout,len_bucket,1-5w,1145,0.8681,0.868
xlm-roberta-base,clean,bidwesh_heldout,len_bucket,6-15w,2276,0.8818,0.8813
xlm-roberta-base,clean,bidwesh_heldout,len_bucket,16-30w,851,0.8425,0.8422
xlm-roberta-base,clean,bidwesh_heldout,len_bucket,>30w,135,0.8815,0.8765
xlm-roberta-base,clean,bidwesh_heldout,hate_type_1,callToViolence,583,0.9245,0.4804
